date,time,latitude,longitude,elevation,course,speed
1/9/2019, 8:59:46 ,34.666049,-118.069305,2435,0,0
1/9/2019, 8:59:47 ,34.666038,-118.069328,2437,271.6,2
1/9/2019, 8:59:48 ,34.66603,-118.069351,2439,265.1,2
1/9/2019, 8:59:49 ,34.666034,-118.069351,2442,261.8,2
1/9/2019, 8:59:50 ,34.66603,-118.069351,2443,262.3,3
1/9/2019, 8:59:51 ,34.666038,-118.069366,2444,261.5,2
1/9/2019, 8:59:52 ,34.666046,-118.069374,2444,261.8,2
1/9/2019, 8:59:53 ,34.666049,-118.069374,2444,262.5,1
1/9/2019, 8:59:54 ,34.666049,-118.069396,2444,260.2,2
1/9/2019, 8:59:55 ,34.666049,-118.069404,2444,253,2
1/9/2019, 8:59:56 ,34.666046,-118.069412,2445,268.3,2
1/9/2019, 8:59:57 ,34.666042,-118.069419,2445,267,2
1/9/2019, 8:59:58 ,34.666042,-118.069427,2446,263.3,1
1/9/2019, 8:59:59 ,34.666046,-118.069435,2446,256,1
1/9/2019, 9:0:00 ,34.666042,-118.06945,2446,256,0
1/9/2019, 9:0:01 ,34.666046,-118.069458,2446,256,0
1/9/2019, 9:0:02 ,34.666046,-118.069458,2447,256,0
1/9/2019, 9:0:03 ,34.666042,-118.069458,2447,256,0
1/9/2019, 9:0:05 ,34.666046,-118.06945,2448,12,2
1/9/2019, 9:0:06 ,34.666049,-118.06945,2448,12,2
1/9/2019, 9:0:07 ,34.666069,-118.06945,2448,347.2,4
1/9/2019, 9:0:08 ,34.666091,-118.069458,2449,352.9,5
1/9/2019, 9:0:09 ,34.666122,-118.069458,2449,356.9,6
1/9/2019, 9:0:10 ,34.666152,-118.069458,2449,359.6,7
1/9/2019, 9:0:11 ,34.666191,-118.06945,2449,1.1,9
1/9/2019, 9:0:12 ,34.666236,-118.06945,2449,2.3,11
1/9/2019, 9:0:13 ,34.666286,-118.069442,2448,2.5,14
1/9/2019, 9:0:14 ,34.666351,-118.069435,2448,2,16
1/9/2019, 9:0:15 ,34.666423,-118.069435,2448,1.7,18
1/9/2019, 9:0:16 ,34.666507,-118.069427,2447,1.4,20
1/9/2019, 9:0:17 ,34.666595,-118.069419,2447,0.7,22
1/9/2019, 9:0:18 ,34.666694,-118.069419,2446,359.9,23
1/9/2019, 9:0:19 ,34.666793,-118.069419,2446,359.3,23
1/9/2019, 9:0:20 ,34.666889,-118.069419,2445,359,23
1/9/2019, 9:0:21 ,34.666984,-118.069419,2445,358.8,22
1/9/2019, 9:0:22 ,34.667068,-118.069427,2444,358.7,21
1/9/2019, 9:0:24 ,34.667205,-118.069435,2443,358.7,19
1/9/2019, 9:0:25 ,34.667259,-118.069427,2443,359.5,17
1/9/2019, 9:0:26 ,34.667304,-118.069419,2443,359.5,17
1/9/2019, 9:0:27 ,34.667335,-118.069404,2443,16.2,10
1/9/2019, 9:0:28 ,34.667358,-118.069396,2443,24.2,6
1/9/2019, 9:0:29 ,34.667377,-118.069381,2443,33.3,6
